"${0} ${1} already exists.","${0} ${1} 已存在",
"${0} ${1} has been modified after loading","${0} ${1} 加载之后已经更新了",
"${0} ${1} is linked with existing records.","${0} ${1} 与现有记录链接",
"${0} already exists.","${0} 已存在",
"${0} filters applied","${0} 过滤器应用",
"${0} out of ${1}",,
"${0} rows","${0} 行",
"* required fields","* 必填字段",
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 过滤器应用",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23/03/2022,,
9888900000,,
Account,帐户,
"Account Entries",帐户条目,
"Account Name",账户名称,
"Account Type",账户类型,
"Accounting Ledger Entry",会计帐目,
"Accounting Settings",会计设置,
Accounts,帐户,
"Accounts Payable",应付账款,
"Accounts Receivable",应收账款,
"Accumulated Depreciation",累计折旧,
"Add Account",添加账户,
"Add Customers",添加客户,
"Add Group",添加组,
"Add Items",添加条目,
"Add Row",添加行,
"Add Suppliers",添加供应商,
"Add Taxes",添加税费,
"Add a few customers to create your first invoice",添加几个客户来创建您的第一张发票,
"Add a few suppliers to create your first bill",添加一些供应商来创建您的第一个账单,
"Add a filter",添加一个过滤器,
"Add a remark",添加一个备注,
"Add invoice terms",添加发票条款,
"Add products or services that you buy from your suppliers",添加你从供应商那里购买的产品或服务,
"Add products or services that you sell to your customers",增加你卖给客户的产品或服务,
Address,地址,
"Address Display",地址显示,
"Address Line 1",详细地址1,
"Address Line 2",详细地址2,
"Administrative Expenses",行政费用,
All,全部,
Amount,金额,
"Amount (Company Currency)",金额(本币),
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","金额:${0}，冲销: ${1}小于分配给引用的总金额: ${2}",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","金额:${0}小于分配给引用的总金额: ${1}",
"An error occurred.",发生一个错误,
"Application of Funds (Assets)",资金(资产)使用,
Arial,宋体,
"Ascending Order",升序排序,
Asset,资产,
"Assign Imported Labels",资产导入标签,
Back,返回,
"Bad import data.",错误的导入数据,
Balance,余额,
"Balance Sheet",资产负债表,
Bank,银行,
"Bank Accounts",银行账号,
"Bank Entry",银行凭证,
"Bank Name",银行名称,
"Bank Overdraft Account",银行透支账户,
"Based On",根据,
Basic,基础,
Bill,开票,
"Bill Created",发票已创建,
"Bill No",发票编号,
Black,黑色,
Blue,蓝色,
Both,两个,
Buildings,房屋,
Business,业务,
Cancel,取消,
"Cancel ${0} ${1}?","取消 ${0} ${1}?",
Cancelled,已取消,
"Cannot delete ${0} ${1} because of linked entries.","因为链接条目，不能删除 ${0} ${1}",
"Capital Equipments",资本设备,
"Capital Stock",股本,
Cash,现金,
"Cash Entry",现金分录,
"Cash In Hand",现款,
Cashflow,现金流,
"Central Tax",中央税,
"Change DB",切换数据库,
"Change File",切换文件,
